TITLE  Input prepared with Numpy script
format 1 P  V  T
 9.76     725.0000    40.00
 9.03     727.5453    40.00
 8.31     730.0907    40.00
 7.60     732.6360    40.00
 6.90     735.1813    40.00
 6.22     737.7267    40.00
 5.54     740.2720    40.00
 4.88     742.8173    40.00
 4.24     745.3627    40.00
 3.60     747.9080    40.00
 2.97     750.4534    40.00
 2.36     752.9987    40.00
 1.75     755.5440    40.00
 1.16     758.0894    40.00
 0.57     760.6347    40.00
 0.00     763.1800    40.00
 9.77     725.0000    70.00
 9.04     727.5557    70.00
 8.31     730.1113    70.00
 7.60     732.6670    70.00
 6.91     735.2226    70.00
 6.22     737.7783    70.00
 5.55     740.3340    70.00
 4.89     742.8896    70.00
 4.24     745.4453    70.00
 3.60     748.0009    70.00
 2.97     750.5566    70.00
 2.36     753.1123    70.00
 1.75     755.6679    70.00
 1.16     758.2236    70.00
 0.57     760.7792    70.00
 0.00     763.3349    70.00
 9.81     725.0000   100.00
 9.07     727.5749   100.00
 8.34     730.1497   100.00
 7.63     732.7246   100.00
 6.93     735.2995   100.00
 6.24     737.8743   100.00
 5.56     740.4492   100.00
 4.90     743.0241   100.00
 4.25     745.5989   100.00
 3.61     748.1738   100.00
 2.98     750.7487   100.00
 2.36     753.3235   100.00
 1.76     755.8984   100.00
 1.16     758.4733   100.00
 0.58     761.0482   100.00
 0.00     763.6230   100.00
 9.86     725.0000   130.00
 9.12     727.6010   130.00
 8.38     730.2019   130.00
 7.67     732.8029   130.00
 6.96     735.4038   130.00
 6.27     738.0048   130.00
 5.59     740.6058   130.00
 4.92     743.2067   130.00
 4.27     745.8077   130.00
 3.63     748.4087   130.00
 2.99     751.0096   130.00
 2.37     753.6106   130.00
 1.76     756.2115   130.00
 1.17     758.8125   130.00
 0.58     761.4135   130.00
 0.00     764.0144   130.00
 9.96     725.0000   170.00
 9.21     727.6440   170.00
 8.47     730.2880   170.00
 7.74     732.9320   170.00
 7.03     735.5761   170.00
 6.33     738.2201   170.00
 5.64     740.8641   170.00
 4.97     743.5081   170.00
 4.31     746.1521   170.00
 3.66     748.7961   170.00
 3.02     751.4402   170.00
 2.39     754.0842   170.00
 1.78     756.7282   170.00
 1.17     759.3722   170.00
 0.58     762.0162   170.00
 0.00     764.6602   170.00
10.05     725.0000   200.00
 9.29     727.6812   200.00
 8.54     730.3625   200.00
 7.81     733.0437   200.00
 7.09     735.7249   200.00
 6.38     738.4062   200.00
 5.69     741.0874   200.00
 5.01     743.7686   200.00
 4.34     746.4499   200.00
 3.69     749.1311   200.00
 3.04     751.8124   200.00
 2.41     754.4936   200.00
 1.79     757.1748   200.00
 1.18     759.8561   200.00
 0.59     762.5373   200.00
 0.00     765.2185   200.00
10.22     725.0000   250.00
 9.45     727.7507   250.00
 8.69     730.5014   250.00
 7.94     733.2521   250.00
 7.20     736.0028   250.00
 6.49     738.7534   250.00
 5.78     741.5041   250.00
 5.09     744.2548   250.00
 4.41     747.0055   250.00
 3.74     749.7562   250.00
 3.09     752.5069   250.00
 2.45     755.2576   250.00
 1.82     758.0083   250.00
 1.20     760.7590   250.00
 0.59     763.5096   250.00
 0.00     766.2603   250.00
10.42     725.0000   300.00
 9.63     727.8276   300.00
 8.85     730.6552   300.00
 8.08     733.4829   300.00
 7.34     736.3105   300.00
 6.60     739.1381   300.00
 5.88     741.9657   300.00
 5.18     744.7934   300.00
 4.48     747.6210   300.00
 3.81     750.4486   300.00
 3.14     753.2762   300.00
 2.49     756.1039   300.00
 1.85     758.9315   300.00
 1.22     761.7591   300.00
 0.60     764.5867   300.00
 0.00     767.4143   300.00
10.64     725.0000   350.00
 9.82     727.9106   350.00
 9.03     730.8212   350.00
 8.24     733.7318   350.00
 7.48     736.6424   350.00
 6.73     739.5529   350.00
 5.99     742.4635   350.00
 5.27     745.3741   350.00
 4.57     748.2847   350.00
 3.87     751.1953   350.00
 3.20     754.1059   350.00
 2.53     757.0165   350.00
 1.88     759.9271   350.00
 1.24     762.8377   350.00
 0.61     765.7482   350.00
 0.00     768.6588   350.00
